Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_material_id,SRA Study
SRR37446607,WGS,228,3094646253,PRJNA885840,SAMN31110077,Metagenome or environmental,1038212153,SUPERFOODS LTD.,2021-09-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX32354512,Hungary,Europe,Hungary: Budapest,Homo sapiens,NextSeq 2000,human feces sample,47.49 N 19.04 E,210908_2_1k,PAIRED,size fractionation,METAGENOMIC,human feces metagenome,ILLUMINA,2026-03-05T00:00:00Z,2026-03-05T03:12:00Z,1,210908_2_1k,S19_1k,SRP422662
SRR37446620,WGS,228,3126455951,PRJNA885840,SAMN31110065,Metagenome or environmental,1056888374,SUPERFOODS LTD.,2021-09-01,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX32354499,Hungary,Europe,Hungary: Budapest,Homo sapiens,NextSeq 2000,human feces sample,47.49 N 19.04 E,210712_3_1k,PAIRED,size fractionation,METAGENOMIC,human feces metagenome,ILLUMINA,2026-03-05T00:00:00Z,2026-03-05T03:00:00Z,1,210712_3_1k,S13_1k,SRP422662
SRR37446616,WGS,228,3217017033,PRJNA885840,SAMN31110069,Metagenome or environmental,1084119063,SUPERFOODS LTD.,2021-09-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX32354503,Hungary,Europe,Hungary: Budapest,Homo sapiens,NextSeq 2000,human feces sample,47.49 N 19.04 E,210712_5_1k,PAIRED,size fractionation,METAGENOMIC,human feces metagenome,ILLUMINA,2026-03-05T00:00:00Z,2026-03-05T03:01:00Z,1,210712_5_1k,S15_1k,SRP422662
SRR37446610,WGS,228,3268253201,PRJNA885840,SAMN31110074,Metagenome or environmental,1102079043,SUPERFOODS LTD.,2021-10-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX32354509,Hungary,Europe,Hungary: Budapest,Homo sapiens,NextSeq 2000,human feces sample,47.49 N 19.04 E,210712_7_2k,PAIRED,size fractionation,METAGENOMIC,human feces metagenome,ILLUMINA,2026-03-05T00:00:00Z,2026-03-05T03:14:00Z,1,210712_7_2k,S17_2k,SRP422662
SRR37446627,WGS,228,3094294263,PRJNA885840,SAMN31110059,Metagenome or environmental,1042130870,SUPERFOODS LTD.,2021-09-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX32354492,Hungary,Europe,Hungary: Budapest,Homo sapiens,NextSeq 2000,human feces sample,47.49 N 19.04 E,200615_1_1k,PAIRED,size fractionation,METAGENOMIC,human feces metagenome,ILLUMINA,2026-03-05T00:00:00Z,2026-03-05T03:29:00Z,1,200615_1_1k,S10_1k,SRP422662
SRR37446613,WGS,228,3220851649,PRJNA885840,SAMN31110071,Metagenome or environmental,1089024908,SUPERFOODS LTD.,2021-09-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX32354506,Hungary,Europe,Hungary: Budapest,Homo sapiens,NextSeq 2000,human feces sample,47.49 N 19.04 E,210712_6_1k,PAIRED,size fractionation,METAGENOMIC,human feces metagenome,ILLUMINA,2026-03-05T00:00:00Z,2026-03-05T03:14:00Z,1,210712_6_1k,S16_1k,SRP422662
SRR37446609,WGS,228,3302183236,PRJNA885840,SAMN31110075,Metagenome or environmental,1111177010,SUPERFOODS LTD.,2021-09-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX32354510,Hungary,Europe,Hungary: Budapest,Homo sapiens,NextSeq 2000,human feces sample,47.49 N 19.04 E,210908_1_1k,PAIRED,size fractionation,METAGENOMIC,human feces metagenome,ILLUMINA,2026-03-05T00:00:00Z,2026-03-05T02:56:00Z,1,210908_1_1k,S18_1k,SRP422662
SRR37446615,WGS,228,3322195941,PRJNA885840,SAMN31110070,Metagenome or environmental,1123708962,SUPERFOODS LTD.,2021-10-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX32354504,Hungary,Europe,Hungary: Budapest,Homo sapiens,NextSeq 2000,human feces sample,47.49 N 19.04 E,210712_5_2k,PAIRED,size fractionation,METAGENOMIC,human feces metagenome,ILLUMINA,2026-03-05T00:00:00Z,2026-03-05T03:15:00Z,1,210712_5_2k,S15_2k,SRP422662
SRR37446617,WGS,228,3222047477,PRJNA885840,SAMN31110068,Metagenome or environmental,1087592686,SUPERFOODS LTD.,2021-10-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX32354502,Hungary,Europe,Hungary: Budapest,Homo sapiens,NextSeq 2000,human feces sample,47.49 N 19.04 E,210712_4_2k,PAIRED,size fractionation,METAGENOMIC,human feces metagenome,ILLUMINA,2026-03-05T00:00:00Z,2026-03-05T03:13:00Z,1,210712_4_2k,S14_2k,SRP422662
SRR37446618,WGS,228,2988847955,PRJNA885840,SAMN31110067,Metagenome or environmental,1009335023,SUPERFOODS LTD.,2021-09-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX32354501,Hungary,Europe,Hungary: Budapest,Homo sapiens,NextSeq 2000,human feces sample,47.49 N 19.04 E,210712_4_1k,PAIRED,size fractionation,METAGENOMIC,human feces metagenome,ILLUMINA,2026-03-05T00:00:00Z,2026-03-05T03:13:00Z,1,210712_4_1k,S14_1k,SRP422662
